DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
02M439,MANHATTAN VILLAGE ACADEMY ,90.0,1.0706585680890015,479.0,1
02M440,Bayard Rustin High School Humanities ,136.0,-0.3039848505900457,394.0,0
02M445,Seward Park High School ,54.0,,,0
02M449,VANGUARD HIGH SCHOOL ,54.0,-0.6564575220462117,395.0,0
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL ,31.0,0.2423477901670115,463.0,1
02M460,WASHINGTON IRVING HIGH SCHOOL ,163.0,-0.4097266520268955,385.0,0
02M473,YABC at Washington Irving High School ,54.0,,,0
02M475,STUYVESANT HIGH SCHOOL ,804.0,4.7539979848059355,735.0,1
02M489,HS of Economics And Finance ,147.0,0.8239276980696854,503.0,1
02M500,UNITY HIGH SCHOOL ,31.0,-0.5859629877549785,369.0,0
02M519,TALENT UNLIMITED HIGH SCHOOL ,124.0,1.0706585680890015,454.0,1
02M520,MURRY BERGTRAUM HIGH SCHOOL ,287.0,0.1189823551573534,439.0,0
02M529,Jacqueline Kennedy Onassis High School ,88.0,0.27759505731262807,424.0,0
02M531,NEW YORK CITY PUB SCH REP COMP ,32.0,0.1894768894485866,405.0,0
02M535,Park West High School ,54.0,,,0
02M542,MANHATTAN BRIDGE HIGH SCHOOL ,31.0,-1.044177460647994,380.0,0
02M543,NEW DESIGN HIGH SCHOOL ,74.0,-0.25111394987162083,385.0,0
02M544,INDEPENDENCE HIGH SCHOOL ,16.0,-0.00438307985230467,419.0,0
02M545,Dual Language and Asian Studies High School ,47.0,0.2071005230213949,612.0,1
02M550,Liberty High School Academy for Newcomers ,32.0,-1.0794247277936109,465.0,0
02M551,New York Harbor High School ,54.0,-0.5683393541821702,369.0,0
02M560,City as School ,57.0,1.1235294688074264,441.0,1
02M565,URBAN ACADEMY ,34.0,1.9165929795837997,460.0,1
02M570,Satellite Academy High School ,16.0,-0.07487761414353786,336.0,0
02M575,Manhattan Comprehensive Night Day High School ,141.0,-0.8679411249199113,475.0,0
02M580,Richard R Green High School of Teaching ,79.0,0.3657132251766696,429.0,1
02M586,HARVEY MILK SCHOOL ,11.0,0.43620775946790274,382.0,1
02M600,HIGH SCHOOL FASHION INDUSTRIES ,301.0,0.2599714237398198,420.0,1
02M605,HUMANITIES PREPARATORY ACADEMY ,37.0,0.506702293759136,405.0,1
02M615,Chelsea Career and Technical Education High School ,61.0,-0.19824304915319593,412.0,0
02M620,NORMAN THOMAS HIGH SCHOOL ,152.0,-0.4625975527453204,387.0,0
02M625,HS of Graphic Commnctn And Art ,125.0,-0.6035866213277867,378.0,0
02M630,HIGH SCHOOL OF ART AND DESIGN ,212.0,0.40096049232228614,423.0,1
02M655,LIFE SCIENCES SECONDARY SCHOOL ,71.0,-0.09250124771634616,389.0,0
02M690,SCHOOL FOR THE PHYSICAL CITY ,14.0,-0.39210301845408724,404.0,0
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL ,23.0,0.030864187293311925,378.0,0
03M299,"High School For Arts, Imagination And Inquiry ",57.0,-0.7093284227646366,378.0,0
03M307,Urban Assembly School For Media Studies ,53.0,-0.5330920870365536,363.0,0
03M404,INNOVATION DIPLOMA PLUS HIGH SCHOOL ,54.0,,,0
03M415,WADLEIGH SECONDARY SCHOOL ,68.0,-0.497844819890937,373.0,0
03M470,LOUIS D BRANDEIS HIGH SCHOOL ,170.0,-0.8326938577742946,357.0,0
03M479,BEACON SCHOOL ,237.0,2.9740109939522976,563.0,1
03M485,LAGUARDIA HIGH SCH MUSIC ART ,594.0,2.709656490360173,555.0,1
03M494,Martin Luther King Jr HS Arts and Technology ,60.0,0.048487820866120225,425.0,0
03M505,Edward A. Reynolds West Side High School ,18.0,0.10135872158454512,407.0,0
03M541,MANHATTAN/HUNTER COLL HS SCI ,80.0,1.3526367052539343,525.0,1
03M860,FREDERICK DOUGLAS ACADEMY II ,33.0,0.1718532558757783,410.0,1
04M409,COALITION SCH SOCIAL CHANGE ,39.0,-0.25111394987162083,372.0,0
04M435,Manhattan Center for Science and Math ,312.0,1.4231312395451674,531.0,1
04M495,PARK EAST HIGH SCHOOL ,46.0,-0.7798229570558698,374.0,0
04M555,CENTRAL PARK SECONDARY SCHOOL ,35.0,-0.7445756899102531,378.0,0
04M610,YOUNG WOMEN LEADERSHIP SCHOOL ,48.0,0.8239276980696854,445.0,1
04M610,Young Women's Leadership School of Astoria ,54.0,,,0
04M635,Academy of Environment Science Secondary School ,39.0,-0.4273502855997038,385.0,0
04M680,HERITAGE SCHOOL ,47.0,-0.6212102549005951,385.0,0
04M695,URBAN PEACE ACADEMY ,23.0,-0.6740811556190199,382.0,0
05M285,HARLEM RENAISSANCE HIGH SCHOOL ,19.0,-0.03963034699792126,394.0,0
05M304,MOTT HALL HIGH SCHOOL ,63.0,0.34808959160386127,421.0,1
05M367,Academy for Social Action ,54.0,,,0
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMIN ,34.0,-0.973682926356761,370.0,0
05M469,CHOIR ACADEMY OF HARLEM ,16.0,0.27759505731262807,369.0,1
05M499,FREDERICK DOUGLASS ACADEMY ,216.0,1.0706585680890015,481.0,1
05M670,THURGOOD MARSHALL ACADEMY ,52.0,0.330465958031053,434.0,1
05M685,Bread & Rose Intergrated Arts High School ,54.0,-0.7093284227646366,378.0,0
05M692,High School For Math Science Engineering City Coll ,106.0,3.308860031835655,627.0,1
06M293,MS 293 City College Academy of the Arts ,54.0,,,0
06M346,Community Health Academy Heights ,54.0,,,0
06M348,MS 348 Washington Heights Expeditionary Learning S ,54.0,,,0
06M457,YABC AT G. WASHINGTON EDUCATIONAL CAMPUS ,54.0,,,0
06M462,HIGH SCHOOL FOR INTL BUS/FIN ,56.0,-0.3744793848812789,384.0,0
06M463,HS for Media and Communications-George Washingto ,75.0,-0.6740811556190199,376.0,0
06M467,High School for Law and Public Service ,106.0,-0.28636121701723743,388.0,0
06M468,HIGH SCHOOL FOR HLTH CARER/SER ,28.0,-0.3392321177356623,417.0,0
06M540,A Philip Randolph Campus High School ,193.0,0.5595731944775608,451.0,1
06M552,GREGORIO LUPERON PREP SCHOOL ,60.0,-1.097048361366419,384.0,0
07X221,SOUTH BRONX PREPARATORY ,60.0,-0.09250124771634616,393.0,0
07X321,CROTANA ACADEMY HIGH SCHOOL ,54.0,,,0
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL ,33.0,-1.4495210328225852,335.0,0
07X379,Jill Chaifetz Transfer High School ,54.0,,,0
07X381,BRONX HAVEN HIGH SCHOOL ,15.0,-1.2204137963760773,342.0,0
07X427,Community High School Social Justice ,50.0,-0.5683393541821702,351.0,0
07X473,Mott Haven Village Preparatory High School ,48.0,-1.044177460647994,352.0,0
07X495,UNIVERSITY HEIGHTS HIGH SCHOOL ,66.0,-0.057253980570729564,388.0,0
07X500,HOSTOS-LINCOLN ACADEMY SCIENCE ,62.0,0.98254040022496,455.0,1
07X520,FOREIGN LANGUAGE ACADEMY ,73.0,0.2423477901670115,429.0,1
07X527,Bronx Leadership Academy II High School ,55.0,-0.4802211863181287,381.0,0
07X547,NEW EXPLORERS HIGH SCHOOL ,36.0,-0.39210301845408724,376.0,0
07X548,Urban Assembly School for Careers in Sports ,58.0,-0.4097266520268955,423.0,0
07X551,Bronx Academy of Letters ,51.0,0.2071005230213949,406.0,1
07X600,ALFRED E SMITH HIGH SCHOOL ,53.0,-0.6564575220462117,372.0,0
07X655,Samuel Gompers Vocational Technical High School ,105.0,-0.6035866213277867,385.0,0
07X670,Health Opportunities High School ,81.0,-0.07487761414353786,391.0,0
08X282,YOUNG WOMEN'S LEADERSHIP SCH BRONX CMP ,56.0,-0.16299578200757936,407.0,0
08X293,Renaissance High School Music Theater T ,47.0,-0.2687375834444291,375.0,0
08X295,Gateway School for Environmental Research & Tech ,31.0,-0.4802211863181287,367.0,0
08X305,Pablo Neruda Academy Architecture & World Studies ,54.0,-0.7974465906286781,358.0,0
08X312,MILLENNIUM ART ACADEMY ,41.0,-0.4273502855997038,389.0,0
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY ,34.0,-0.5330920870365536,362.0,0
08X377,BRONX COMMUNITY HIGH SCHOOL (X377) ,10.0,0.2071005230213949,393.0,1
08X405,HERBERT H LEHMAN HIGH SCHOOL ,448.0,0.1718532558757783,433.0,0
08X408,YABC AT HERBERT H. LEHMAN HIGH SCHOOL ,8.0,-0.8150702242014863,343.0,0
08X450,ADLAI E STEVENSON HIGH SCHOOL ,54.0,,,0
08X452,The Bronx Guild High School ,36.0,-0.4097266520268955,361.0,0
08X507,YABC AT ADLAI STEVENSON HIGH SCHOOL ,54.0,,,0
08X519,Felisa Rincon de Gautier Inst for Law & Pub Policy ,43.0,-0.5507157206093619,376.0,0
08X530,BANANA KELLY HIGH SCHOOL ,48.0,-0.4802211863181287,382.0,0
08X540,HIGH SCHOOL CMTY RESEARCH LRN ,29.0,-0.850317491347103,376.0,0
08X560,BRONX ACADEMY HIGH SCHOOL ,19.0,-0.5507157206093619,354.0,0
08X650,Jane Addams Vocational High School ,152.0,-0.6035866213277867,377.0,0
09X227,Bronx Expeditionary Learning High School ,46.0,-0.5859629877549785,358.0,0
09X231,Eagle Academy for Young Men ,66.0,-0.23349031629881253,399.0,0
09X239,Urban Assembly Academy History & Citizenship ,22.0,-0.7974465906286781,380.0,0
09X241,Urban Assembly School for Applied Math Science ,54.0,,,0
09X250,EXIMIUS COLLEGE PREP ACADEMY ,44.0,-0.057253980570729564,383.0,0
09X252,MOTT HALL BRONX HIGH SCHOOL ,63.0,-0.16299578200757936,398.0,0
09X260,Bronx Center for Science and Mathematics ,73.0,0.7534331637784522,495.0,1
09X263,VALIDUS PREPARATORY ACADEMY ,90.0,-0.7974465906286781,347.0,0
09X276,LEADERSHIP INSTITUTE ,21.0,-0.7445756899102531,380.0,0
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIE ,22.0,-0.28636121701723743,352.0,0
09X329,DREAMYARD PREPARATORY SCHOOL ,46.0,-0.18061941558038763,404.0,0
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY ,54.0,,,0
09X403,Bronx International High School ,37.0,-1.2204137963760773,335.0,0
09X404,HIGH SCHOOL FOR EXCELLENCE ,32.0,-0.6740811556190199,373.0,0
09X412,BRONX HIGH SCHOOL OF BUSINESS ,35.0,-0.6212102549005951,397.0,0
09X413,HIGH SCHOOL MEDICAL SCIENCES ,98.0,0.330465958031053,450.0,1
09X414,Jonathan Levin HS for Media and Communications ,81.0,-1.0089301935023776,353.0,0
09X505,BRONX SCH LAW GOVMT & JUSTICE ,87.0,0.15422962230297,390.0,1
09X517,Frederick Douglass Academy III Secondary School ,44.0,-0.09250124771634616,414.0,1
09X525,Bronx Leadership Academy High School ,116.0,-0.03963034699792126,397.0,0
09X543,HIGH SCHOOL VIOLIN AND DANCE ,26.0,-1.273284697094502,379.0,0
10X141,RIVERDALE KINGSBRIDGE ACADEMY ,101.0,1.2468949038170845,479.0,1
10X213,BRONX ENGINEERING & TECH ACADEMY ,36.0,-0.5330920870365536,402.0,0
10X225,Theatre Arts Production Company School ,53.0,-0.39210301845408724,375.0,0
10X237,"Marie Curie HS for Nur, Med and Allied Health Prof ",48.0,-0.5507157206093619,358.0,0
10X243,WEST BRONX ACADEMY FOR FUTURE ,32.0,-0.6917047891918283,382.0,0
10X268,Kingsbridge International High School ,40.0,-1.6081337349778597,316.0,0
10X284,BRONX SCHOOL OF LAW & FINANCE ,54.0,-0.00438307985230467,397.0,0
10X319,Providing Urban Learners Success in Education HS ,10.0,-0.973682926356761,346.0,0
10X342,International School of Liberal Arts ,46.0,-1.2556610635216938,336.0,0
10X368,Information Technology Academy ,56.0,0.2423477901670115,411.0,0
10X374,Knowledge & Power Prep Acad International HS ,54.0,,,0
10X430,WALTON HIGH SCHOOL ,54.0,,,0
10X430,YABC AT WALTON HIGH SCHOOL ,54.0,,,0
10X433,HIGH SCHOOL TEACHING PROFESSNS ,50.0,-0.32160848416285404,385.0,0
10X434,Belmont Preparatory High School ,65.0,-0.8150702242014863,370.0,0
10X437,Fordham High School for the Arts ,42.0,-0.4802211863181287,375.0,0
10X438,Fordham Leadership Academy for Business Technolog ,71.0,-0.5154684534637453,385.0,0
10X439,Bronx High School of Law and Community Service ,57.0,-0.2687375834444291,400.0,0
10X440,DeWitt Clinton High School ,438.0,0.3657132251766696,440.0,1
10X442,BRONX HIGH SCHOOL OF MUSIC ,38.0,0.2952186908854364,432.0,1
10X445,BRONX HIGH SCHOOL OF SCIENCE ,683.0,4.013805374747987,685.0,1
10X475,JOHN F KENNEDY HIGH SCHOOL ,87.0,-0.7093284227646366,375.0,0
10X477,MARBLE HILL SCH INTL STUDIES ,70.0,0.030864187293311925,429.0,1
10X478,YABC AT JOHN F. KENNEDY HIGH SCHOOL ,12.0,-0.2687375834444291,383.0,0
10X546,BRONX THEATER HIGH SCHOOL ,50.0,0.030864187293311925,389.0,0
10X549,DISCOVERY HIGH SCHOOL ,31.0,-1.1322956285120358,340.0,0
10X660,Grace Dodge Vocational High School ,93.0,-0.4273502855997038,385.0,0
10X667,YABC AT GRACE DODGE HIGH SCHOOL ,13.0,-0.6564575220462117,378.0,0
10X696,HS of American Studies at Lehman College ,74.0,4.066676275466412,630.0,1
11X249,Bronx Health School High School 11x249 ,52.0,-0.7269520563374449,366.0,0
11X253,High School For Writing & Communication Arts ,57.0,-0.19824304915319593,363.0,0
11X265,BRONX LAB SCHOOL ,70.0,-0.850317491347103,370.0,0
11X270,Academy for Scholarship and Entrepreneurship ,37.0,-0.5507157206093619,376.0,0
11X275,High School of Computers and Technology ,56.0,-0.09250124771634616,402.0,0
11X288,Columbus Institute for Math and Science ,90.0,0.4890786601863277,464.0,1
11X290,BRONX ACAD OF HEALTH CAREERS ,46.0,-0.6212102549005951,363.0,0
11X299,ASTOR COLLEGIATE ACADEMY ,38.0,-0.00438307985230467,400.0,0
11X415,Christopher Columbus High School ,114.0,-0.8855647584927195,373.0,0
11X418,Bronx High School for the Visual Arts ,54.0,0.2599714237398198,403.0,0
11X425,EVANDER CHILDS HIGH SCHOOL ,7.0,-1.0618010942208025,306.0,0
11X455,HARRY S TRUMAN HIGH SCHOOL ,201.0,-0.4273502855997038,384.0,0
11X456,YABC AT HARRY S. TRUMAN HIGH SCHOOL ,54.0,,,0
11X513,NEW WORLD HIGH SCHOOL ,43.0,-1.2909083306673104,384.0,0
11X514,Bronxwood Peparatory Academy ,21.0,-0.7974465906286781,389.0,0
11X541,GLOBAL ENTERPRISE HIGH SCHOOL ,43.0,-0.5683393541821702,359.0,0
11X542,PELHAM PREPARATORY ACADEMY ,92.0,0.40096049232228614,416.0,1
11X544,High School for the Contemporary Arts ,40.0,-0.7974465906286781,340.0,0
11X545,BRONX AEROSPACE HIGH SCHOOL ,47.0,-0.19824304915319593,395.0,0
12X245,NEW DAY ACADEMY ,24.0,-0.6388338884734034,349.0,0
12X248,METROPOLITAN HIGH SCHOOL ,42.0,-1.1322956285120358,361.0,0
12X251,EXPLORATIONS ACADEMY ,34.0,-0.7093284227646366,364.0,0
12X262,Bronx High School Performance & Stage ,41.0,-0.3744793848812789,360.0,0
12X267,Bronx Latin School ,54.0,,,0
12X271,EAST BRONX ACADEMY FOR THE FUTURE ,22.0,0.1894768894485866,390.0,0
12X278,PEACE & DIVERSITY ACAD HIGH SCHOOL ,24.0,0.06611145443892852,400.0,1
12X400,Morris High School ,9.0,-0.6212102549005951,374.0,0
12X428,YABC at Monroe Academy ,11.0,-0.32160848416285404,345.0,0
12X446,Schomburg Satellite Academy ,14.0,-0.8855647584927195,366.0,0
12X480,BRONX REGIONAL HIGH SCHOOL ,12.0,-0.7974465906286781,366.0,0
12X550,HIGH SCHOOL OF WORLD CULTURES ,50.0,-1.9958536735796422,333.0,0
12X680,Bronx Coalition Community High School ,31.0,-0.5683393541821702,366.0,0
12X682,Fannie Lou Hamer Freedom High School ,75.0,-1.2556610635216938,326.0,0
12X684,WINGS ACADEMY ,58.0,-0.32160848416285404,397.0,0
12X690,MONROE CAMPUS ,47.0,-0.8679411249199113,369.0,0
12X692,MONROE ACAD VISUAL ARTS DESGN ,70.0,-1.026553827075186,341.0,0
13K265,Dr Susan S McKinney Secondary School of the Arts ,46.0,-0.3039848505900457,369.0,0
13K336,Urban Assembly Academy of Business & Community D ,54.0,,,0
13K350,Urban Assembly School of Music and Art ,59.0,-0.18061941558038763,371.0,0
13K412,BROOKLYN COMMUNITY HIGH SCHOOL ,43.0,-0.19824304915319593,356.0,0
13K419,Science Skills Center High School ,104.0,0.2599714237398198,421.0,1
13K430,BROOKLYN TECHNICAL HIGH SCHOOL ,1047.0,3.238365497544422,652.0,1
13K483,Urban Assembly School of Law and Justice ,104.0,0.1718532558757783,415.0,1
13K499,Acorn Association of Community Organization Return ,103.0,-0.6564575220462117,361.0,0
13K509,FREEDOM ACADEMY ,40.0,0.2071005230213949,386.0,1
13K553,BROOKLYN ACADEMY HIGH SCHOOL ,19.0,-0.022006713425112966,384.0,0
13K575,Bedford Stuyvesant Street Academy High School ,20.0,-0.6740811556190199,380.0,0
13K595,BEDFORD ACADEMY HIGH SCHOOL ,50.0,0.8591749652153019,469.0,1
13K605,George Westinghouse Vocational Technical HS ,87.0,-0.25111394987162083,360.0,0
13K616,Brooklyn High Sch for Leadership Community Svc ,9.0,-1.4318973992497768,281.0,0
13K670,BENJAMIN BANNEKER ACADEMY ,168.0,1.2645185373898928,477.0,1
14K071,JHS 071 JUAN MOREL CAMPOS ,59.0,-0.7445756899102531,369.0,0
14K322,FOUNDATIONS ACADEMY ,28.0,-0.5507157206093619,377.0,0
14K404,ACADEMY FOR YOUNG WRITERS ,70.0,-0.4802211863181287,366.0,0
14K449,BROOKLYN LATIN SCHOOL ,50.0,2.3219365517583905,534.0,1
14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMEN ,52.0,-0.4097266520268955,381.0,0
14K474,Progress High School For Professional Careers ,102.0,-0.6917047891918283,375.0,0
14K477,School for Legal Studies ,82.0,-0.3392321177356623,390.0,0
14K478,"Enterprise, Business and Technology High School ",80.0,-0.7798229570558698,390.0,0
14K488,BROOKLYN PREP HIGH SCHOOL ,44.0,-0.12774851486196276,377.0,0
14K558,Williamsburg High School for Architecture & Design ,44.0,-0.09250124771634616,393.0,0
14K561,WILLIAMSBURG PREP ,58.0,-0.5154684534637453,386.0,0
14K586,LYONS COMMUNITY SCHOOL ,54.0,,,0
14K610,AUTOMOTIVE HIGH SCHOOL ,73.0,-0.9031883920655278,359.0,0
14K632,The Frances Perkins Academy ,54.0,,,0
14K640,HARRY VAN ARSDALE HIGH SCHOOL ,54.0,,,0
14K685,El Puente Academy for Peace and Justice ,16.0,-0.5154684534637453,386.0,0
14K923,YABC at Automative High School ,54.0,,,0
15K429,BROOKLYN SCHOOL GLOBAL STUDIES ,50.0,-0.5330920870365536,365.0,0
15K448,Brooklyn Secondary Sch for Collaborative Studies ,63.0,-0.3392321177356623,380.0,0
15K462,"Secondary School for Law, Journalism and Research ",50.0,0.030864187293311925,409.0,0
15K463,SECONDARY SCHOOL JOURNALISM ,75.0,-0.19824304915319593,372.0,0
15K464,SECONDARY SCHOOL FOR RESEARCH ,65.0,-0.5507157206093619,395.0,0
15K497,SCHOOL INTERNATIONAL STUDIES ,45.0,-0.03963034699792126,414.0,0
15K519,COBBE HILL SCHOOL AMERICAN STD ,44.0,-0.6917047891918283,358.0,0
15K520,PACIFIC HIGH SCHOOL ,9.0,-0.850317491347103,352.0,0
15K529,WEST BROOKLYN COMMUNITY HIGH SCHOOL ,11.0,-0.7269520563374449,382.0,0
15K530,METROPOLITAN CORPORATE ACADEMY ,17.0,-0.6035866213277867,348.0,0
15K656,Brooklyn High School of the Arts ,71.0,0.2071005230213949,417.0,1
15K698,South Brooklyn Community High School ,17.0,-0.3039848505900457,371.0,0
16K393,Frederick Douglass Academy IV Seconday School ,29.0,0.43620775946790274,421.0,1
16K455,BOYS AND GIRLS HIGH SCHOOL ,143.0,-0.6212102549005951,367.0,0
16K498,Acorn High School for Social Justice ,34.0,-0.6564575220462117,364.0,0
16K594,Gotham Professional Arts Academy ,54.0,,,0
17K382,ACADEMY FOR COLLEGE PREPARATION CAREER ,50.0,-0.057253980570729564,412.0,1
17K408,ACADEMY OF HOSPITALITY AND TOURISM ,31.0,-0.07487761414353786,405.0,0
17K440,Prospect Heights High School ,12.0,-0.28636121701723743,373.0,0
17K467,YABC AT ERASMUS CAMPUS ,54.0,,,0
17K469,Campus School of the Humanities at Erasmus Hall ,54.0,,,0
17K470,George Wood Wingate High School ,54.0,,,0
17K489,W E B DUBOIS HIGH SCHOOL ,17.0,-0.4097266520268955,344.0,0
17K524,International High School @Prospect Hgt ,32.0,-1.801993704278751,339.0,0
17K528,HIGH SCHOOL FOR GLOBAL CITIZENSHIP ,81.0,-0.39210301845408724,387.0,0
17K531,SCHOOL FOR HUMAN RIGHTS ,21.0,-0.8326938577742946,391.0,0
17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP ,25.0,-0.8150702242014863,378.0,0
17K537,HS FOR YOUTH CMMTY DEVLPMT AT ERASMUS ,71.0,-0.7621993234830614,376.0,0
17K539,HS FOR SERVICE AND LEARNING AT ERASMUS ,54.0,-0.5859629877549785,366.0,0
17K543,SCIENCE TECH RESEARCH HS AT ERASMUS ,68.0,0.7181858966328355,425.0,1
17K544,INTERNATIONAL ARTS BUSINESS HS ,49.0,-0.21586668272600423,390.0,0
17K546,HIGH SCHOOL FOR PUBLIC SERVICE ,83.0,0.13660598873016172,427.0,1
17K547,Brooklyn High School for Science and the Environ ,45.0,-0.23349031629881253,396.0,0
17K548,BROOKLYN HS MUSIC AND THEATER ,37.0,-0.3392321177356623,351.0,0
17K568,BROWNSVILLE ACADEMY HIGH SCHOOL ,20.0,-0.850317491347103,358.0,0
17K590,Medgar Evers College Preparatory High School ,113.0,0.9649167666521516,482.0,1
17K600,Clara Barton High School ,282.0,0.2599714237398198,413.0,1
17K625,Paul Robeson High School ,121.0,-0.8679411249199113,358.0,0
18K415,SAMUEL J TILDEN HIGH SCHOOL ,42.0,-1.3437792313857353,341.0,0
18K500,CANARSIE HIGH SCHOOL ,128.0,-0.5683393541821702,373.0,0
18K501,YABC AT CANARSIE HIGH SCHOOL ,54.0,,,0
18K515,SOUTH SHORE HIGH SCHOOL ,29.0,-0.6917047891918283,352.0,0
18K563,IT TAKES A VILLAGE ACADEMY ,54.0,,,0
25Q540,QUEENS ACADEMY ,22.0,-0.07487761414353786,395.0,0
18K566,BROOKLYN GENERATION SCHOOL ,54.0,,,0
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL ,54.0,,,0
18K569,Kurt Hahn Expeditionary Learning School ,54.0,,,0
18K576,VICTORY COLLEGIATE HIGH SCHOOL ,54.0,,,0
18K578,BROOKLYN BRIDGE ACADEMY OF S SHORE ED CO ,20.0,-0.2687375834444291,358.0,0
18K589,ARTS & MEDIA PREPARATORY ACADEMY ,54.0,,,0
18K617,High School for Innovation in Advertising and Media ,54.0,,,0
18K629,Cultural Academy for the Arts and Sciences ,54.0,,,0
18K633,High School for Medical Professions ,54.0,,,0
18K635,OLYMPUS ACADEMY ,24.0,-0.7621993234830614,365.0,0
18K642,Urban Action Academy ,54.0,,,0
18K673,East Brooklyn Community High School ,54.0,,,0
19K409,EAST NEW YORK FAMILY ACADEMY ,61.0,0.5419495609047525,428.0,1
19K420,FRANKLIN K LANE HIGH SCHOOL ,140.0,-0.9031883920655278,379.0,0
19K431,"YOUNG ADULT BOROUGH CTR, THOMAS JEFFERS ",54.0,,,0
19K435,THOMAS JEFFERSON HIGH SCHOOL ,54.0,,,0
19K502,FDNY HIGH SCH DOR FIRE & LIFE ,29.0,-0.497844819890937,375.0,0
19K504,HIGH SCHOOL FOR CIVIL RIGHTS ,23.0,-0.6212102549005951,372.0,0
19K507,PERFORMING ARTS & TECH HIGH SCHOOL ,49.0,-0.5859629877549785,363.0,0
19K510,World Acad for Total Community Health ,28.0,-0.6035866213277867,371.0,0
19K583,Multicultural High School ,54.0,,,0
19K615,East New York High School of Transit Technology ,184.0,0.15422962230297,419.0,1
19K618,Academy of Innovative Technology High School ,54.0,,,0
19K639,Brooklyn Lab School ,54.0,,,0
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCH ,50.0,-0.11012488128915446,402.0,0
19K660,William H Maxwell Voc High School ,49.0,-0.8679411249199113,367.0,0
19K683,SCHOOL FOR CLASSICS ,54.0,,,0
20K445,NEW UTRECHT HIGH SCHOOL ,317.0,0.08373508801173682,471.0,1
20K485,High School of Telecommunication Arts ,221.0,0.806304064496877,471.0,1
20K490,FORT HAMILTON HIGH SCHOOL ,581.0,0.2071005230213949,486.0,1
20K505,Franklin D Roosevelt High School ,385.0,-0.3039848505900457,492.0,0
